Name;Price;Rarity
Ioun Stone Awareness;12000;Rare
Rod of the Pact Keeper +1;12000;Rare
Staff of Charming;12000;Rare
Sunblade;12000;Rare
Staff of Healing;13000;Rare
Ring of Shooting Stars;14000;Very Rare
Ioun Stone Mastery;15000;Legendary
Hammer of Thunderbolts;16000;Legendary
Rod of the Pact Keeper +2;16000;Rare
Staff of Swarming Insects;16000;Rare
Wand of Paralysis;16000;Rare
+3 Weapon;16000;Very Rare
Staff of Fire;16000;Very Rare
Ring of Fire Elemental Command;17000;Legendary
Dwarven Thrower;18000;Very Rare
Wand of the War Mage +3;19200;Very Rare
Efreeti Chain;20000;Legendary
Ring of Free Action;20000;Rare
Sentinel Shield;20000;Uncommon
Staff of Striking;21000;Very Rare
Vorpal Sword;24000;Legendary
Ring of Spell Storing;24000;Rare
Ring of Water Elemental Command;25000;Legendary
Rod of Alertness;25000;Very Rare
Staff of Frost;26000;Very Rare
Instrument of the Bards - Fochulan Bandlore;26500;Uncommon
Instrument of the Bards - Mac-Fuirmidh Cittern;27000;Uncommon
Rod of Lordly Might;28000;Legendary
Rod of the Pact Keeper +3;28000;Very Rare
Instrument of the Bards - Doss Lute;28500;Uncommon
Ring of Spell Turning;30000;Legendary
Instrument of the Bards - Canaith Mandolin;30000;Rare
Mantle of Spell Resistance;30000;Rare
Ioun Stone Greater Absorption;31000;Legendary
Prayer Bead - Favor;32000;Rare
Wand of Fireballs;32000;Rare
Wand of Lightning Bolts;32000;Rare
Wand of Polymorph;32000;Very Rare
Instrument of the Bards - Cli Lyre;35000;Rare
Scarab of Protection;36000;Legendary
Sword of Answering;36000;Legendary
Staff of the Woodlands;44000;Rare
Spellguard Shield;50000;Very Rare
Rod of Absorption;50000;Very Rare
Cloak of Displacement;60000;Rare
Weapon of Warning;60000;Uncommon
Robe of Stars;60000;Very Rare
Talisman of Ultimate Evil;61440;Legendary
Talisman of Pure Good;71680;Legendary
Prayer Bead - Wind Walking;96000;Rare
Instrument of the Bards - Anstruth Harp;109000;Very Rare
Instrument of the Bards - Ollamh Harp;125000;Legendary
Prayer Bead - Summons;128000;Rare
Holy Avenger;165000;Legendary
Robe of Useful Items;Items * 5;Uncommon
